제목,날짜,신문사,링크
"서울시, 개학 연기 따른 급식 공백 막는다",2020.03.05,대한급식신문,http://www.fsnews.co.kr/news/articleView.html?idxno=36861
중랑구 '아이들이 행복한 도시 만들기' 본격 착수,2009.06.17,아시아경제,http://www.asiae.co.kr/uhtml/read.jsp?idxno=2009061708431891244
"광주광역시청, 산수동 다솜어린이집 남매 확진자 발생-성남시청, 탄천초 확진...",2020.07.05,한국면세뉴스,http://www.kdfnews.com/news/articleView.html?idxno=50518
서울시내 초등 돌봄교실 이용률 지역·학교별 최대 45배 차이,29면   2014,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0002499157
"학교 비정규직 파업 첫 날…""급식 대신 빵·계란..배고파요""",2014.11.20,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=03201286606287688
서울 강서구 미술학원 강사 코로나 확진 파문...서울공진초등학교 긴급 등교중...,2020.05.25,충청리뷰,http://www.ccreview.co.kr/news/articleView.html?idxno=261293
'소화기 발사',2014.07.09,뉴시스,http://www.newsis.com/pict_detail/view.html?pict_id=NISI20140709_0009902419
"서울시, 개학 연기로 결식하는 학생이 없도록 급식 지원",2020.03.04,충청리뷰,http://www.ccreview.co.kr/news/articleView.html?idxno=246159
[여름방학 ‘고민의 계절’①]돌봄교실 단축하는 방학…학부모들 “학원보내느...,2018.07.20,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20180720000042
문병권 중랑구청장의 '교육특구' 열정 넘쳐,2010.06.24,아시아경제,http://www.asiae.co.kr/news/view.htm?idxno=2010062411123790418
연기대피체험하는 어린이들,2014.07.09,뉴시스,http://www.newsis.com/pict_detail/view.html?pict_id=NISI20140709_0009902420
"밤8시 이후 초등 돌봄교실 이용, 전북 480명으로 전국서 가장 많아",2014.10.20,새전북신문,http://www.sjbnews.com/news/articleView.html?idxno=473450
[Who Is ?] 박원순 서울특별시 시장,2020.01.07,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=158387
산발적 집단감염 양상…서울서 확진자 55명 늘어(종합),2020.09.04,뉴스1,https://www.news1.kr/articles/?4049167
이태원 클럽발 '6차감염'…미술학원 강사 '경로미상',2020.05.25,노컷뉴스,https://www.nocutnews.co.kr/news/5349153
무상급식한다고 저소득층 자녀 저녁 안먹인다,2011.11.30,데일리안,http://www.dailian.co.kr/news/news_view.htm?id=268888&sc=naver&kind=menu_code&keys=3
