제목,날짜,신문사,링크
"[울산소식]중구보건소, 초등생 비만예방 프로그램 운영 등",2019.08.05,뉴시스,http://www.newsis.com/view/?id=NISX20190805_0000732384&cID=10899&pID=10800
"서울 중구, 생활구정 실현 위한 동 주민인사회 개최",2020.01.21,아시아경제,https://view.asiae.co.kr/article/2020012108031119299
[울산시교육청 브리핑] 초등돌봄교실 확대 지원으로 돌봄 수요 적극 대처 등,2020.01.16,베타뉴스,http://www.betanews.net:8080/article/1122004.html
맞벌이 가정 아이돌봄 공간 울산 중구 '다봄행복센터' 개소,2020.06.23,연합뉴스,http://yna.kr/AKR20200623160800057?did=1195m
[자치광장] 중구형 초등돌봄의 나비효과/서양호 서울 중구청장,29면1단  202,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200525029008&wlog_tag3=naver
[코로나19]비대면 수업이어지면서 강원지역 초등돌봄 확대 '절실',2020.09.16,MTN,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2020091611535842561
중구청장의 꼼꼼 구정 비결은? ‘걸어서 현장 속으로’,2020.07.02,서울신문,https://www.seoul.co.kr/news/newsView.php?id=20200702011004&wlog_tag3=naver
"서울 중구 돌봄교실, '나만의 집콕 추석 만들기' 운영",2020.09.28,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1325920
"인천 중구보건소, 아동비만 예방 ‘건강한 돌봄놀이터’ 운영",2020.06.19,브레이크뉴스,http://www.breaknews.com/737328
"인천중구, 어린이 안전사고 제로화 시대를 향한 청사진 제시",2020.07.09,중부일보,http://www.joongboo.com/news/articleView.html?idxno=363431982
"서양호 중구청장, 취임 2주년 첫날부터 현장 행정",2020.07.01,뉴시스,http://www.newsis.com/view/?id=NISX20200701_0001079932&cID=10201&pID=10200
초등돌봄 확대 정책이 필요한 이유,2020.06.14,전라일보,http://www.jeollailbo.com/news/articleView.html?idxno=600542
"교육부, 유치원·초등1~2학년용 '소형 마스크' 305만장 비축 완료",2020.03.30,오가닉라이프신문,https://www.iloveorganic.co.kr/news/articleView.html?idxno=305393
'맞벌이' 육아부담 지역사회와 나눈다…온종일 초등돌봄 구축,2018.05.30,뉴시스,http://www.newsis.com/view/?id=NISX20180529_0000321781&cID=10201&pID=10200
"인천 중구보건소, 아동비만 예방 위한 건강한 돌봄놀이터 본격 운영",2020.06.20,경인매일,http://www.kmaeil.com/news/articleView.html?idxno=228526
"중구, 내년 예산 4433억 편성…사회복지 강화",2018.11.22,뉴시스,http://www.newsis.com/view/?id=NISX20181122_0000481270&cID=10201&pID=10200
"서울 중구 직영 돌봄교실 확대된다…""학부모 만족도 높아""",2019.06.02,연합뉴스,http://yna.kr/AKR20190531156600004?did=1195m
전국 최초 자치구 직영 '초등 돌봄교실' 운영,2019.01.30,한국강사신문,http://www.lecturernews.com/news/articleView.html?idxno=13866
[르포]내 딸 졸업식도 교문 밖에서…신종코로나에 초등학교 교문 '철컹',2020.02.11,머니투데이,http://news.mt.co.kr/mtview.php?no=2020021113360174798
"조희연 교육감, '서울봉래초 중구형 초등돌봄교실 운영' 참관",2019.07.08,뉴시스,http://www.newsis.com/view/?id=NISI20190708_0015381531
