제목,날짜,신문사,링크
"우리 아이들, 부산시가 책임지겠습니다",2018.10.24,환경일보,http://www.hkbs.co.kr/news/articleView.html?idxno=488273
"'박원순 업적' 1분간 읊은 서울시의회, 정의당 ""시장 무책임""",2020.07.14,오마이뉴스,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002658267&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
[증권가소식]키움증권 '키움에서 펀드 들었소' 이벤트 실시 外,2015.05.11,뉴시스,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20150511_0013653708&cID=10401&pID=10400
"우리 아이 아토피 고민, 이곳에서 풀자",2012.07.03,뉴데일리,http://www.newdaily.co.kr/news/article.html?no=116582
"<창간 19주년 기획특집 PART3 -재계 '꿈나무 프로그램' 열전> 불안한 미래, 아...",2015.05.21,일요시,http://www.ilyosisa.co.kr/news/articleView.html?idxno=81569
"부여교육지원청 Wee센터, 꿈키움 멘토단 위촉",2019.04.07,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1156251
아이 삶의 질 결정하는 한 표,21  2018.0,한겨레21,http://h21.hani.co.kr/arti/society/society_general/45249.html
"서천Wee센터, 꿈키움 멘토단 결연",2016.05.09,충청일보,http://www.ccdailynews.com/news/articleView.html?idxno=873834
"구리남양주교육지원청, ‘2018 꿈키움 멘토링’ 운영",2018.05.03,경기일보,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1471883
"""우리 아이의 특성에 맞는 놀이방법을 배워보세요""",2018.05.02,베이비뉴스,http://www.ibabynews.com/news/articleView.html?idxno=64659
"[우리 아이, 서울이 함께 키운다 - ①인터뷰 | 문미란 서울시 여성가족정책실...",2019.10.30,내일신문,http://www.naeil.com/news_view/?id_art=329924
"부천시제1어린이급식관리지원센터, '함께 키움'진행",2018.08.21,중도일보,http://www.joongdo.co.kr/main/view.php?key=20180821010008055
"[서산 다문화]우리아이 행복키움터, 서산시공동육아나눔터 개소",2018.03.18,중도일보,http://www.joongdo.co.kr/main/view.php?key=20180315010006682
