제목,날짜,신문사,링크
학교비정규직 총파업 1일차…“경기도 ‘급식대란’은 없었다”,2019.07.03,뉴스핌,http://www.newspim.com/news/view/20190703001145
"신규확진 126명, 36일째 세자릿 수…국내발생도 109명",2020.09.18,뉴시스,http://www.newsis.com/view/?id=NISX20200918_0001170573&cID=10201&pID=10200
광진구 수년에 걸친 침수피해대책 “빛 본다”,2016.07.21,헤럴드경제,http://news.heraldcorp.com/view.php?ud=20160721000271
성신여대 '체인지(體人知) 사회봉사단 돌봄교실' 자원봉사 성료,2016.08.26,서울경제,http://www.sedaily.com/NewsView/1L0AJKC27Y
[르포] 빵조각으로 점심 때운 아이들...어린이 볼모로 한 비정규직 총파업,2019.07.03,아주경제,http://www.ajunews.com/view/20190703144803630
서울 강서구 미술학원 강사 코로나 확진 파문...서울공진초등학교 긴급 등교중...,2020.05.25,충청리뷰,http://www.ccreview.co.kr/news/articleView.html?idxno=261293
돌봄 안되는 돌봄교실,2014.03.10,TBS,http://www.tbs.seoul.kr/news/bunya.do?method=daum_html2&typ_800=6&seq_800=10012082
[인터뷰]김기동 광진구청장 “재난·재해 없는 안전 도시 만들기 총력”,2단  2015.0,아시아경제,http://view.asiae.co.kr/news/view.htm?idxno=2015081009022052019
"성신여대 사회봉사단, 돌봄교실 자원봉사 성료",2016.08.30,머니투데이,http://www.mt.co.kr/view/mtview.php?type=1&no=2016083012387468499&outlink=1
"<서울 자치구 소식>동대문구, 행정전화에 블루투스 접목",2007.03.15,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0000345483
"성신여대 체인지 사회봉사단, 돌봄교실 자원봉사 큰 호응",2016.08.28,브릿지경제,http://www.viva100.com/main/view.php?key=20160828010007782
‘놀토’엔 자녀들을 청소년시설로 보내자,2006.11.02,국정브리핑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=117&oid=078&aid=0000026996
"현오석 ""출산후 3년·초등1학년때 여성 재취업 집중지원""",2014.01.16,뉴스1,http://news1.kr/articles/1498874
"[건국대학교] 의상디자인 터치, 미술·디자인 교육 재능기부",21  2015.0,씨네21,http://www.cine21.com/news/view/mag_id/81165
송파강동광진 소식 - 2013년 6월 4주,2013.06.25,내일신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=086&aid=0002160522
[Who Is ?] 박원순 서울특별시 시장,2020.01.07,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=158387
"[르포] 학교비정규직 총파업 첫날 맞은 초등학교…""차라리 단축수업이 낫겠네...",2019.07.03,아시아투데이,http://www.asiatoday.co.kr/view.php?key=20190703010002560
산발적 집단감염 양상…서울서 확진자 55명 늘어(종합),2020.09.04,뉴스1,https://www.news1.kr/articles/?4049167
무상 돌봄교실 특기교육에 학교 재정 휘청,2014.03.28,서울신문,http://www.seoul.co.kr/news/newsView.php?id=20140328010011
이태원 클럽발 '6차감염'…미술학원 강사 '경로미상',2020.05.25,노컷뉴스,https://www.nocutnews.co.kr/news/5349153
“n차 감염 없을 듯” 27일 제주 한림지역 등교수업 재개,2020.07.27,파이낸셜뉴스,http://www.fnnews.com/news/202007271631037081
해열제 먹으면서 제주여행…지역감염 4명 발생 ‘비상’,2020.07.17,파이낸셜뉴스,http://www.fnnews.com/news/202007170805551882
27일부터 등교인데… 강서 미술학원서 6살 유치원생 확진,2020.05.25,세계일보,http://www.segye.com/content/html/2020/05/25/20200525513210.html?OutUrl=naver
[서울 자치구 새살림] 광진구，‘쓰레기 제로’ 자원순환 도시 조성 앞장,25면   2014,파이낸셜뉴스,http://www.fnnews.com/view?ra=Sent1201m_01A&corp=fnnews&arcid=201402140100142450007436&cDateYear=2014&cDateMonth=02&cDateDay=13&
"""n차감염 없을 듯""…제주 한림읍 학교 27일 등교 재개",2020.07.24,뉴스1,https://www.news1.kr/articles/?4005978
'2차감염 비상' 한림지역 모든 학교 17일 등교중단,2020.07.17,한라일보,http://www.ihalla.com/read.php3?aid=1594937273687743014
"[유통÷나누기 세상＋더하기] SPC, 매장 아르바이트생에 장학금 1억7000만원 ...",2020.08.31,뉴스투데이,https://www.news2day.co.kr/159604
제주 첫 3차감염에 한림읍 학교 다시 24일까지 등교중지,2020.07.21,뉴스1,https://www.news1.kr/articles/?4002313
"광진구, 스마트폰 대신 책 읽는 아이 양성 프로젝트....'엄마멘토링단 그림책...",2018.05.25,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=186202
미술학원 관련 유치원생 확진…이태원 클럽발 6차 감염,2020.05.25,KBS,http://news.kbs.co.kr/news/view.do?ncd=4454128&ref=A
클럽發 n차 감염·쿠팡 물류센터 확진 속출…서울 807명(종합),2020.05.27,뉴시스,http://www.newsis.com/view/?id=NISX20200527_0001038644&cID=10201&pID=10200
[데일리안 주간 포토] '카카오가 너무해' 슈퍼여당의 오만인가? 추미애 이어 ...,2020.09.12,데일리안,https://www.dailian.co.kr/news/view/919139/?sc=Naver
"'우리가 최초'…직장임신부 가정에 '가사돌봄', '치과 주치의' 지원나선 구청...",2020.06.01,중앙일보,https://news.joins.com/article/olink/23385097
이태원 클럽발 'n차 감염' 속출 속 유치원·교회는 추가 확진자 '0명'(종합),2020.05.26,뉴시스,http://www.newsis.com/view/?id=NISX20200526_0001037173&cID=14001&pID=14000
성신여대 체인지(體人知) 사회봉사단 돌봄교실 자원봉사 성료,2016.08.29,이투데이,http://www.etoday.co.kr/news/section/newsview.php?idxno=1376652
"[인터뷰] 박명서 ""코로나에도 특별한 희생으로 환자 돌보는 의료진 덕에 생명...",2020.09.01,가톨릭평화방송·평화신문,http://www.cpbc.co.kr/CMS/news/view_body.php?cid=786467&path=202009
