제목,날짜,신문사,링크
"성신여대, ';성신 體人知 사회봉사단 발대식' 개최",2016.08.03,브릿지경제,http://www.viva100.com/main/view.php?key=20160803010001011
거리두기 3단계 시행 가능성…학사일정 또 바뀌나,23면1단  202,머니투데이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004457116
서울 강서구 미술학원 강사 코로나 확진 파문...서울공진초등학교 긴급 등교중...,2020.05.25,충청리뷰,http://www.ccreview.co.kr/news/articleView.html?idxno=261293
"성신여대 체인지 사회봉사단, 돌봄교실 자원봉사 큰 호응",2016.08.28,브릿지경제,http://www.viva100.com/main/view.php?key=20160828010007782
서초구민들 강북구 삼각산 재미난마을 찾은 이유?,2014.09.02,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0003323056
[포토] 성신여대 체인지(體人知) 사회봉사단 돌봄교실 자원봉사,2016.08.27,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=018&aid=0003618103
사회적기업 ‘행복한 학교’ 11일 개학,2010.03.02,문화일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002027095
"서울시, 행복한 학교로 2100개 일자리 창출",2010.03.16,이코노믹리뷰,http://er.asiae.co.kr/erview.htm?idxno=2010031122560496757
"[현장영상] ""앞으로 2주 상황 전국 확산 여부 결정될 중요 시기""",2020.08.16,YTN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001478689
[Who Is ?] 박원순 서울특별시 시장,2020.01.07,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=158387
서울 유·초·중 3분의 1 등교 유지…사범대생 투입해 기초학력 지원,2020.08.19,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010028322
"신규확진 126명, 36일째 세자릿 수…수도권·전국 산발(종합2보)",2020.09.18,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010083011
[Who Is ?] 함영주 하나금융지주 부회장,2020.08.19,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=192375
2학기도 결국 `퐁당퐁당` 등교…맞벌이 부부들 “막막하다”,2020.08.20,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004717705
닷새 만에 30명 밑돌았지만… 수도권 경로 모르는 집단감염 속출,2020.05.31,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003095023
"[Btv 서울뉴스]코로나19 돌봄 공백...""강북형 돌봄 개선책 논의""",2020.09.15,SK브로드밴드,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=54&p_no=108942
이태원 클럽발 '6차감염'…미술학원 강사 '경로미상',2020.05.25,노컷뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003363711
"""모여 놀다 감염되면 어떡해요""…외면받는 긴급돌봄교실",2020.03.06,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004505608
[뉴있저] '코로나19 위기 극복' 4차 추경...시민들 생각은?,2020.09.23,YTN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001494486
[잡인사이드] 대은가정봉사파견센터 상용직 채용,2019.07.03,뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=864869
[잡인사이드] 효사랑재가복지센터 상용직 채용,2019.07.02,뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=859997
[잡인사이드] 서울노인복지센터 상용직 채용,2019.08.09,뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=969060
강남구서 유치원 원아도 확진…서울 신규 확진자 25명(종합),2020.09.14,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004870872
하루새 전국 학생 40명·교직원 10명 확진…714개교 등교 못해(종합),2020.08.20,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010031617
"심각한 유은혜 “수도권 학교 3단계, 미리 준비하라”…조희연 “원격해야”(...",2020.08.24,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003118125
[잡인사이드] 한마음노인요양센터 상용직 채용,2019.09.03,뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=1013212
"['3단계' 초비상] 수도권 전면 온라인 수업…학교현장 ""사실상 3단계 조치""",2020.08.25,뉴스핌,http://www.newspim.com/news/view/20200825001115
"[유통÷나누기 세상＋더하기] SPC, 매장 아르바이트생에 장학금 1억7000만원 ...",2020.08.31,뉴스투데이,https://www.news2day.co.kr/159604
서울 성북·강북 이어 파주 등 학교 798곳 등교 중지,2020.08.17,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002509087
"이낙연, 코로나19 재확산 위기에 ""가족돌봄 휴가 확대 강구""",2020.08.18,한국일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=469&aid=0000526380
"[뉴스큐]""언제든지 3단계 가능""...등교 중지·수능 연기 수순?",2020.08.24,YTN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001481981
어린이집 휴원 날벼락에… 긴급보육 보내는 맞벌이 ‘냉가슴’,2020.02.25,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003441756
교회發 확진자 증가에 학부모 우려 커져…“어른들이 조심해야”,2020.08.19,조선에듀,http://edu.chosun.com/site/data/html_dir/2020/08/19/2020081901551.html
"수도권 교회발 확산, 학교 집단감염 우려",2020.08.18,내일신문,http://www.naeil.com/news_view/?id_art=359133
[에듀콕] 2학기 등교 어떻게 하나?,2020.08.17,MBC,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001058957
이제 와서 된다뇨! 유치원 원격수업 번복에 “탁상행정” 발끈,2020.06.08,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001329560
"[현장연결] 유은혜 ""수도권 유초중학교 9월11일까지 등교인원 1/3로 제한""",2020.08.16,연합뉴스TV,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=422&aid=0000443238
“애들 걸릴까 걱정”-“학원은 보내면서” 혼돈의 등교개학,2면   2020.,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001324961
"""사표 내야 하나"" 연차 다 써버린 학부모들 '등교 축소' 한숨",2020.08.17,중앙일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003026725
2차 재난지원금 현금지급 소식에... 유통업계 “휴~”,2020.09.15,이코노믹리뷰,http://www.econovill.com/news/articleView.html?idxno=412030
서울·경기·인천 `유초중` 등교 인원 1/3로 제한…비수도권은 2/3,2020.08.16,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004636514
서울교총 “학생·교직원 안전 위해 2주간 원격수업 전환해야”,2020.08.24,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003496416
학생 300명 미만 중·소형학원엔 보내도 된다?,2020.08.27,조선일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003557001
"정부, 이젠 ‘언제’ 등교할 것인지보다 ‘어떻게’ 운영할 것인지 밝혀야 [김...",2020.05.12,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003464212
성신여대 체인지(體人知) 사회봉사단 돌봄교실 자원봉사 성료,2016.08.29,이투데이,http://www.etoday.co.kr/news/section/newsview.php?idxno=1376652
"강북, 희망 아이돌봄 서비스 확대",2020.05.14,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003090306
"조희연 ""서울 모든 학생 1인당 필터 교체형 면 마스크 3개씩 지급""",2020.03.16,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004598118
공립유치원 학급수 늘리기 취지는 좋은데…,29면   2018,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004244208
'효제초 자원봉사' 사랑제일교회 교인 1명 확진...등교 중지,2020.08.18,YTN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001479398
학부모들 “확산세 꺾일 때까지 등교 미뤄야”,2020.05.11,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003464032
강북 우선 투자…우이신설 연장·면목선 2022년까지 착공,2면   2018.,경향신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0002888373
"강북구, 교육콘텐츠 박람회 개최",2014.06.26,한강타임즈,http://www.hg-times.com/news/articleView.html?idxno=69067
서울에서 인천 개척교회 관련 8명 확진…“성경공부·기도회·수련회 자제를”,2020.06.02,헤럴드경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001681199
유치원 원격수업 안된다더니… 이제와서 하라고?,2020.06.09,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001329742
[Who Is ?] 박원순 서울특별시 시장,2019.04.22,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=124134
"‘아이는 방긋, 학부모는 근심’… 2차 등교 개학 시작",2020.05.27,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001325696
"여성만 80%, 임대 아파트로 간 그들은 왜 홀로 남았나 [공공임대주택-구멍뚫린...",2019.10.16,경향신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0002968916
강서구 미술학원 강사 확진…인근 서울공진초 25일 돌봄 등 긴급 등교중지(종...,2020.05.24,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009878358
마을이 함께 돌봄 공백 메운다‥'육아 품앗이' 확산,2020.01.09,EBS,http://news.ebs.co.kr/ebsnews/allView/20217061/N
"[인터뷰│이범석 국립재활원 원장] ""맞춤형 재활서비스 모델화 우선 집중""",2020.05.20,내일신문,http://www.naeil.com/news_view/?id_art=350033
등교수업 긴급 취소…수도권·부산 초중고 800여곳 온라인수업,2020.08.17,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004636792
사상 초유 4월 개학? 코로나19에 곳곳서 “개학 연기” 요구,2020.03.16,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003447493
[금일 정치권 주요기사]“조수진 재산신고 역공”…“역대급 지원” 추경 7.8...,2020.09.10,청년일보,http://www.youthdaily.co.kr/news/article.html?no=47246
"저마다 왕이 된 시대, 마을공동체가 갖는 의미",2018.12.17,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002211928
서울 도심 자투리공간…공립 유치원 들어선다,28면1단  201,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004282674
